# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
         615-2-52347 0.601930 1.664867 0.387033 0.350000 4479.637052  D    M 1.750500 1.664867 0.387033
         615-2-52347 1.770790 1.074423 0.227372 0.390000 7748.237156  B    M 1.750500 1.074423 0.227372
       615-145-52347 0.453820 0.857052 0.191908 0.170000 4065.462248  D    M 1.568700 0.857052 0.191908
       615-416-52347 0.496310 2.895122 0.338165 0.370000 4184.281284  B    M 1.788800 2.895122 0.338165
       615-416-52347 0.656420 0.512551 0.106253 0.250000 4632.012888  C    M 1.788800 0.512551 0.106253
        615-96-52347 0.498150 0.957181 0.187565 0.190000 4189.426660  D    M 2.296900 0.957181 0.187565
        615-96-52347 0.596120 0.561988 0.110894 0.190000 4463.389968  D    M 2.296900 0.561988 0.110894
       615-476-52347 1.287350 0.634796 0.125473 0.240000 6396.345540  C    M 1.506100 0.634796 0.125473
       615-588-52347 1.326620 1.817228 0.290550 0.320000 6506.160168  C    M 3.062700 1.817228 0.290550
       615-115-52347 0.740500 0.801494 0.190175 0.290000 4867.134200  D    M 1.131000 0.801494 0.190175
       615-473-52347 1.322190 0.532256 0.113686 0.200000 6493.772116  B    M 2.453200 0.532256 0.113686
       615-407-52347 0.712490 1.101320 0.207884 0.600000 4788.807036  C    M 2.105400 1.101320 0.207884
       615-407-52347 1.129190 1.398654 0.302462 0.430000 5954.066916  D    M 2.105400 1.398654 0.302462
       615-315-52347 0.494940 5.005552 1.123122 2.220000 4180.450216  C    M 0.494700 5.005552 1.123122
       615-557-52347 1.504410 6.140368 0.285097 0.300000 7003.332124  A   MF 1.517500 6.140368 0.285097
       615-480-52347 0.793090 1.025046 0.060789 0.090000 5014.196876  C   MF 1.717900 1.025046 0.060789
       615-640-52347 0.701780 0.420148 0.085793 0.250000 4758.857592  D    M 0.853900 0.420148 0.085793
       484-501-51907 0.810910 0.098293 0.022641 0.090000 5064.028724  B    M 0.819900 0.098293 0.022641
       484-211-51907 1.486440 0.874342 0.147198 0.290000 6953.080816 C*    M 1.990300 0.874342 0.147198
       484-366-51907 1.463900 0.610820 0.142863 0.250000 6890.049960  D    M 1.511000 0.610820 0.142863
        484-28-51907 0.423020 3.729392 0.877008 0.710000 3979.333128  D    M 1.743900 3.729392 0.877008
        484-28-51907 1.193080 0.955278 0.229814 0.360000 6132.728912  D    M 1.743900 0.955278 0.229814
        484-28-51907 1.465450 0.918696 0.190229 0.360000 6894.384380  D    M 1.743900 0.918696 0.190229
        484-28-51907 1.465840 0.869481 0.170733 0.360000 6895.474976  D    M 1.743900 0.869481 0.170733
       484-618-51907 1.483980 0.368360 0.089775 0.120000 6946.201672  A    M 2.004700 0.368360 0.089775
       484-618-51907 1.821960 1.553176 0.189939 0.120000 7891.328944  A   MC 2.004700 1.553176 0.189939
       484-545-51907 1.660160 0.763864 0.183072 0.230000 7438.871424  B    M 2.005900 0.763864 0.183072
       484-522-51907 1.884830 0.808713 0.179213 0.220000 8067.138612  D    M 2.000900 0.808713 0.179213
       484-598-51907 0.711830 0.925910 0.168241 0.370000 4786.961412  B    M 1.315300 0.925910 0.168241
       484-598-51907 0.930960 2.653084 0.281207 0.370000 5399.736544  C    M 1.315300 2.653084 0.281207
       484-598-51907 0.941180 3.495812 0.415727 0.370000 5428.315752  B    M 1.315300 3.495812 0.415727
       484-598-51907 0.973670 2.351457 0.523897 0.370000 5519.170788  B   MF 1.315300 2.351457 0.523897
       484-598-51907 1.153650 3.238223 0.359854 0.370000 6022.466860  A    M 1.315300 3.238223 0.359854
       484-598-51907 1.159880 2.857566 0.387522 0.370000 6039.888432  E    M 1.315300 2.857566 0.387522
       484-134-51907 0.747870 4.238874 0.167633 0.150000 4887.743668  B    M 2.227700 4.238874 0.167633
       484-134-51907 0.762010 2.627681 0.182178 0.150000 4927.284764  C    M 2.227700 2.627681 0.182178
