      0652-482-52138 1.3367   A 1  0.9 1
      0652-482-52138 1.2114   A 1  1.0 1
      0752-043-52251 1.5193   A 1  0.9 1
      0652-497-52138 1.4337   D 1  0.2 1
      0389-567-51795 0.8837   A 1  1.0 1
      0389-567-51795 1.4477   B 1  0.8 1
      0389-567-51795 1.4036   C 1  0.9 1
      0390-331-51900 0.5763   C 1  0.7 0
      0752-044-52251 1.0216   C 1  0.5 1
      0652-444-52138 0.9382   A 1  1.0 1
      0652-444-52138 0.5587   C 1  0.3 0
      0652-527-52138 1.4515   A 1  1.0 1
      0652-527-52138 0.4831   C 1  0.5 0
      0652-041-52138 0.5289   C 1  0.6 1
      0652-041-52138 1.0324   A 1  1.0 1
      0390-328-51900 2.1495   A 1  0.6 0
      0390-328-51900 1.8171   B 1  0.3 0
      0653-305-52145 1.5866   B 1  0.8 1
      0753-291-52233 1.3978   A 1  1.0 1
      0390-394-51900 1.0949   B 1  0.2 0
      0652-578-52138 1.0693  C* 1  0.2 1
      0652-578-52138 0.5185   C 1  0.1 0
      0652-578-52138 1.6349   A 1  0.9 1
      0389-066-51795 0.6141   D 1  0.2 0
      0390-272-51900 1.9902   D 1  0.0 0
      0653-331-52145 0.6169   C 1  0.6 0
      0653-331-52145 1.3161   A 1  1.0 1
      0652-607-52138 1.0634   A 1  1.0 1
      0652-607-52138 1.6035   A 1  1.0 1
      0389-640-51795 1.7550   A 1  0.8 1
      0389-640-51795 0.4074   C 1  0.3 0
      0389-640-51795 1.2736   D 1  0.1 0
      0389-640-51795 1.9102   A 1  0.9 1
      0389-640-51795 0.7889   B 1  1.0 1
      0389-640-51795 0.8461   D 1  0.5 1
      0390-365-51900 1.3116   D 1  0.1 0
      0390-365-51900 1.2883   C 1  0.9 1
      0389-031-51795 1.9436   A 1  1.0 1
      0389-622-51795 1.4762   D 1  0.3 0
      0389-622-51795 0.3842   D 1  0.1 0
      0389-632-51795 1.2221   A 1  1.0 1
      0389-632-51795 0.4635   C 1  0.6 0
      0389-632-51795 0.4724   C 1  0.1 0
      0389-632-51795 0.5310   D 1  0.1 0
      0389-632-51795 1.9928   C 1  0.1 0
      0652-587-52138 1.8395   C 1  0.3 0
      0653-293-52145 0.4069   D 1  0.1 0
      0653-293-52145 1.0000   D 1  0.2 0
      0390-271-51900 2.0274   A 1  1.0 1
      0753-398-52233 1.4694   A 1  0.8 0
      0652-639-52138 1.6215   D 1  0.0 0
      0652-639-52138 1.7168   D 1  0.0 0
      0652-639-52138 0.6837   C 1  0.6 1
      0753-374-52233 1.3805   D 1  0.1 0
      0390-418-51900 0.8074   C 1  0.2 0
      0652-018-52138 1.7841   D 1  0.0 0
      0652-018-52138 1.5963  C* 1  0.3 0
      0390-433-51900 1.5212   C 1  0.8 1
      0653-323-52145 1.4547   C 1  0.1 0
      0653-323-52145 1.6282   C 1  0.1 0
      0653-323-52145 1.6308   E 1  0.0 0
      0653-323-52145 0.6147   D 1  0.1 0
      0753-387-52233 1.6418   C 1  0.2 1
      0753-387-52233 1.8607   A 1  0.6 0
      0390-234-51900 1.6918   A 1  1.0 1
      0753-430-52233 0.4200   D 1  0.2 0
      0753-253-52233 1.6173   A 1  1.0 1
      0653-223-52145 1.5613   B 1  0.8 1
      0653-223-52145 0.4268   C 1  0.4 1
      0390-443-51900 1.0082   A 1  1.0 1
      0390-443-51900 0.8624   C 1  0.8 1
      0653-422-52145 0.7986   A 1  1.0 1
      0390-537-51900 0.6745  E* 1  0.0 0
      0390-537-51900 0.6503   C 1  0.8 1
      0390-537-51900 1.5348   B 1  0.8 1
      0390-178-51900 1.5967   E 1  0.1 0
      0753-406-52233 1.4447   B 1  0.6 0
      0753-462-52233 1.2737   C 1  0.7 0
      0653-197-52145 1.3535   B 1  0.8 1
      0653-212-52145 0.9521   A 1  1.0 1
      0653-212-52145 1.2268   C 1  0.7 0
      0390-108-51900 1.1648   C 1  0.9 1
      0390-108-51900 1.8364   B 1  0.1 0
      0390-108-51900 0.5765   B 1  0.9 1
      0390-108-51900 0.8180   D 1  0.5 1
      0390-559-51900 1.1735   D 1  0.2 0
      0390-553-51900 1.4799   D 1  0.1 1
      0390-610-51900 1.6792   E 1  0.1 0
      0753-165-52233 1.2844   A 1  1.0 1
      0753-500-52233 0.9796  C* 1  0.4 0
      0390-603-51900 0.4811   C 1  0.6 1
      0753-509-52233 1.5818   B 1  0.7 1
      0753-131-52233 1.6540   A 1  0.9 1
      0753-140-52233 0.9664   C 1  0.8 1
      0753-140-52233 0.5937   D 1  0.2 0
      0653-174-52145 1.7563   B 1  0.2 1
      0653-174-52145 0.7637   C 1  0.1 0
      0653-538-52145 1.5446   A 1  1.0 1
      0653-178-52145 0.7934  C* 1  0.2 0
      0391-387-51782 0.5059   C 1  0.9 1
      0390-032-51900 0.7497   A 1  1.0 1
      0653-533-52145 1.1907   C 1  1.0 1
      0390-026-51900 0.6145   A 1  1.0 1
      0390-026-51900 1.5781   C 1  0.4 0
      0390-026-51900 1.2839   B 1  1.0 0
      0653-546-52145 0.7064   A 1  1.0 1
      0654-350-52146 1.1208   A 1  1.0 1
      0654-350-52146 0.6830   B 1  0.7 0
      0653-558-52145 0.5362   E 1  0.1 0
      0653-558-52145 1.7772   C 1  0.1 0
      0653-571-52145 1.2080   A 1  1.0 1
      0391-270-51782 0.7317   E 1  0.0 0
      0753-034-52233 1.3804   B 1  0.7 1
      0753-034-52233 0.9480   D 1  0.4 0
      0653-556-52145 1.8565   C 1  0.1 0
      0653-556-52145 1.7840   A 1  1.0 1
      0653-016-52145 0.6514   A 1  1.0 1
      0653-016-52145 1.1780   A 1  1.0 1
      0753-636-52233 0.8089   E 1  0.1 0
      0654-308-52146 0.9251   C 1  0.9 1
      0417-307-51821 1.4853   D 1  0.1 0
      0417-307-51821 1.7957   C 1  0.1 0
      0417-389-51821 1.4847   D 1  0.0 0
      0654-325-52146 1.1424   A 1  1.0 1
      0654-325-52146 1.7372   B 1  0.8 1
      0653-036-52145 0.7819   A 1  1.0 1
      0653-640-52145 0.8354   D 1  0.2 1
      0653-640-52145 1.4627   B 1  0.7 0
      0653-640-52145 0.7089   A 1  1.0 1
      0391-041-51782 0.9913   D 1  0.1 0
      0653-633-52145 1.6058   A 1  0.8 1
      0653-633-52145 0.9795   C 1  0.8 1
      0653-633-52145 1.3049   E 1  0.1 0
      0653-633-52145 1.1445   A 1  1.0 1
      0654-397-52146 0.6556   C 1  0.2 0
      0391-102-51782 0.4400   C 1  0.8 1
      0417-121-51821 0.4597   E 1  0.1 0
      0417-121-51821 1.3921   C 1  0.6 1
      0392-316-51793 1.6223   C 1  0.4 0
      0392-316-51793 1.8198   C 1  0.1 0
      0392-316-51793 1.2623   B 1  1.0 1
      0392-316-51793 0.5418   C 1  0.1 0
      0392-316-51793 1.8723   A 1  1.0 1
      0391-078-51782 0.7647   E 1  0.0 0
      0391-078-51782 1.4059   C 1  0.5 1
      0417-444-51821 1.1300   C 1  0.5 0
      0391-609-51782 1.8343   A 1  1.0 1
      0391-603-51782 0.4409   C 1  0.1 1
      0654-445-52146 0.8226  C* 1  0.6 0
      0654-445-52146 0.9977   D 1  0.0 0
      0654-445-52146 1.0494   D 1  0.1 1
      0654-133-52146 1.3522   A 1  1.0 1
      0654-469-52146 0.6339   B 1  1.0 1
      0654-469-52146 0.5634   D 1  0.1 0
      0654-469-52146 1.4713   B 1  0.8 0
      0392-321-51793 0.5578   C 1  0.1 0
      0392-321-51793 1.4939   C 1  0.5 1
      0392-321-51793 1.2847   D 1  0.1 0
      0392-321-51793 0.9978   D 1  0.1 0
      0392-321-51793 1.5760   A 1  0.9 1
      0417-528-51821 1.1568   A 1  1.0 1
      0418-316-51817 0.5935   A 1  0.9 1
      0417-141-51821 1.3049   A 1  1.0 1
      0417-141-51821 0.6961   A 1  1.0 1
      0654-492-52146 0.8633   C 1  0.6 1
